Mode,Start_Run_ID,End_Run_ID,Start_Time,End_Time,Total_Runs_In_Block
tpc_bkg,054575,054575,2023-10-12 13:27:25.184,2023-10-12 14:43:33.195,1
background_linked,054581,054586,2023-10-12 14:45:48.488,2023-10-13 07:46:42.126,6
tpc_kr83m,054606,054715,2023-10-13 09:25:17.169,2023-10-15 08:58:22.261,46
background_linked,054716,055096,2023-10-15 08:59:41.827,2023-10-27 07:36:24.745,92
tpc_bkg,054719,054719,2023-10-15 15:55:40.537,2023-10-15 16:37:12.006,1
background_tpc_mv,054734,054735,2023-10-16 06:54:04.032,2023-10-16 07:44:21.780,2
tpc_bkg,054749,054749,2023-10-17 07:45:38.856,2023-10-17 08:29:56.487,1
background_tpc_mv,054753,054766,2023-10-17 08:31:19.935,2023-10-17 16:08:25.461,2
ambe_link_all,054759,054763,2023-10-17 09:11:25.387,2023-10-17 11:25:01.048,5
tpc_bkg,054788,054799,2023-10-18 14:12:44.647,2023-10-18 17:28:26.142,2
background_tpc_mv,054812,054996,2023-10-19 05:19:08.401,2023-10-25 09:50:24.236,14
background_tpc_nv,054819,054819,2023-10-19 08:52:35.272,2023-10-19 09:41:55.719,1
background_tpc_nv,054896,054910,2023-10-21 06:41:34.760,2023-10-21 18:59:50.401,2
background_tpc_nv,054939,054952,2023-10-22 20:46:55.638,2023-10-23 06:51:06.139,2
background_tpc_nv,054978,055008,2023-10-24 14:49:23.378,2023-10-25 16:26:35.485,3
tpc_bkg,055022,055061,2023-10-26 07:30:39.471,2023-10-26 14:37:28.121,2
tpc_kr83m,055097,055212,2023-10-27 07:38:35.898,2023-10-29 08:28:26.108,47
background_linked,055213,055473,2023-10-29 08:29:58.348,2023-11-04 09:08:19.725,48
background_tpc_nv,055217,055474,2023-10-29 17:45:04.440,2023-11-04 09:36:02.490,10
background_tpc_mv,055219,055466,2023-10-29 18:06:00.417,2023-11-03 15:04:25.330,11
tpc_bkg,055272,055272,2023-10-30 16:07:43.562,2023-10-30 16:08:54.596,1
ambe_link_all,055406,055410,2023-11-02 14:02:59.442,2023-11-02 16:10:15.482,5
