Run_ID,mode,Start_Date,Livetime_sec,Gate_Event_Count,Gate_Event_Rate_Hz,Cathode_Event_Count,Cathode_Event_Rate_Hz,S1_Only_Heavy_Count,S1_Only_Heavy_Rate_Hz,S2_Only_SE_Count,S2_Only_SE_Rate_Hz,Wall_Event_Count,Wall_Event_Rate_Hz,start,end
054575,tpc_bkg,2023-10-12 13:27:25.184,4568.011,2918,0.6387900554530188,1868,0.4089307140460038,568,0.12434295801827096,1141,0.24978048432895628,5689,1.2453998031090554,2023-10-12 13:27:25.184,2023-10-12 14:43:33.195
054788,tpc_bkg,2023-10-18 14:12:44.647,5909.765,3851,0.6516333559794678,2351,0.3978161568184183,729,0.12335515879227008,1420,0.24028028187246023,6998,1.1841418398193497,2023-10-18 14:12:44.647,2023-10-18 15:51:14.412
054799,tpc_bkg,2023-10-18 16:02:53.786,5132.356,3414,0.6651915806308059,2136,0.41618313304844795,579,0.11281368634599782,1185,0.23088811454232716,6038,1.176457751566727,2023-10-18 16:02:53.786,2023-10-18 17:28:26.142
054749,tpc_bkg,2023-10-17 07:45:38.856,2657.631,1817,0.6836916035371352,1072,0.4033667578380897,268,0.10084168945952242,599,0.22538870144124598,3080,1.1589268788631681,2023-10-17 07:45:38.856,2023-10-17 08:29:56.487
054719,tpc_bkg,2023-10-15 15:55:40.537,2491.469,1570,0.630150324968924,1064,0.42705729029741085,304,0.12201636865640311,592,0.23761082317299553,2964,1.1896595943999302,2023-10-15 15:55:40.537,2023-10-15 16:37:12.006
055061,tpc_bkg,2023-10-26 12:12:27.021,8701.1,6100,0.7010607854179356,3509,0.4032823436117272,904,0.10389490983898587,1728,0.19859557986921192,11051,1.2700693015825584,2023-10-26 12:12:27.021,2023-10-26 14:37:28.121
055022,tpc_bkg,2023-10-26 07:30:39.471,3082.036,2022,0.6560598253881524,1226,0.3977889940286226,307,0.0996094789288639,598,0.1940275843630639,3808,1.2355468917300123,2023-10-26 07:30:39.471,2023-10-26 08:22:01.507
055272,tpc_bkg,2023-10-30 16:07:43.562,71.034,37,0.5208773263507616,31,0.4364107328884759,7,0.09854435903933327,16,0.22524424923276176,86,1.2106878396260945,2023-10-30 16:07:43.562,2023-10-30 16:08:54.596
055641,tpc_bkg,2023-11-07 13:38:34.219,5459.437,3701,0.6779087294166047,2227,0.40791751970029144,633,0.11594602154031634,1195,0.2188870390847994,6371,1.1669701472880811,2023-11-07 13:38:34.219,2023-11-07 15:09:33.656
055464,tpc_bkg,2023-11-03 14:46:29.331,202.855,125,0.6162036922925243,90,0.4436666584506175,22,0.10845184984348427,38,0.18732592245692736,243,1.1978999778166672,2023-11-03 14:46:29.331,2023-11-03 14:49:52.186
055851,tpc_bkg,2023-11-14 17:03:16.846,1006.913,694,0.6892353162587036,459,0.4558487178137535,112,0.11123105968440172,230,0.2284209261376107,1349,1.3397383885201601,2023-11-14 17:03:16.846,2023-11-14 17:20:03.759
055758,tpc_bkg,2023-11-13 16:18:30.604,246.494,163,0.6612737024024925,119,0.4827703716926173,33,0.13387749803240648,63,0.2555843144255033,314,1.2738646782477463,2023-11-13 16:18:30.604,2023-11-13 16:22:37.098
055895,tpc_bkg,2023-11-16 09:38:03.535,1999.367,1305,0.6527065816330869,879,0.4396391457896424,212,0.10603355962162024,414,0.20706553624222065,2446,1.2233872020494487,2023-11-16 09:38:03.535,2023-11-16 10:11:22.902
056282,tpc_bkg,2023-11-22 16:39:29.904,1532.734,968,0.6315512019698134,805,0.5252052867620866,161,0.10504105735241732,350,0.2283501246791681,2015,1.3146442892243535,2023-11-22 16:39:29.904,2023-11-22 17:05:02.638
056459,tpc_bkg,2023-11-25 10:31:28.847,3600.731,2353,0.6534784186877609,2106,0.584881236615565,433,0.12025335966502357,2750,0.7637338084961081,4969,1.3799975616062403,2023-11-25 10:31:28.847,2023-11-25 11:31:29.578
056497,tpc_bkg,2023-11-27 15:24:55.743,1872.033,1304,0.6965689173214361,864,0.46153032558720924,17,0.009081036498822404,21,0.011217750969133557,34,0.01816207299764481,2023-11-27 15:24:55.743,2023-11-27 15:56:07.776
056466,tpc_bkg,2023-11-25 11:32:25.145,3064.043,2049,0.6687242966237745,1786,0.5828899920790929,338,0.11031176781787984,2224,0.7258383775945703,4159,1.3573569300430834,2023-11-25 11:32:25.145,2023-11-25 12:23:29.188
056532,tpc_bkg,2023-11-29 14:55:35.979,1886.437,1279,0.6779977279919764,980,0.5194978682033908,230,0.12192296906814275,454,0.24066533894320352,2475,1.3119971671463189,2023-11-29 14:55:35.979,2023-11-29 15:27:02.416
056569,tpc_bkg,2023-12-01 11:03:44.582,799.663,582,0.7278065885254164,408,0.5102149280384362,85,0.1062947766746742,334,0.4176759459922492,1046,1.3080510164906967,2023-12-01 11:03:44.582,2023-12-01 11:17:04.245
056928,tpc_bkg,2023-12-05 12:25:37.404,10803.02,128229,11.869736425555075,35296,3.2672345325658934,6346,0.5874283302261775,7187,0.6652769318209167,6459,0.5978883682525812,2023-12-05 12:25:37.404,2023-12-05 15:25:40.424
056931,tpc_bkg,2023-12-05 15:26:35.299,10801.094,101228,9.37201361269516,30381,2.812770632308172,5686,0.5264281562589864,6438,0.5960507333794152,5232,0.4843953769868127,2023-12-05 15:26:35.299,2023-12-05 18:26:36.393
056937,tpc_bkg,2023-12-05 21:28:37.201,10800.22,67752,6.273205545812956,21706,2.009773874976621,3605,0.3337894968806191,4325,0.4004548055502573,3528,0.3266600124812273,2023-12-05 21:28:37.201,2023-12-06 00:28:37.421
056934,tpc_bkg,2023-12-05 18:27:33.616,10803.68,81039,7.501055196007286,24968,2.311064378063771,4364,0.4039364364734979,5209,0.48215052648727097,4515,0.41791315551737923,2023-12-05 18:27:33.616,2023-12-05 21:27:37.296
056940,tpc_bkg,2023-12-06 00:30:50.177,10803.244,56993,5.2755450122204035,18790,1.7392923829175755,3028,0.2802861807064619,3612,0.33434401740810443,2869,0.2655683792757064,2023-12-06 00:30:50.177,2023-12-06 03:30:53.421
